            | Teste 01 | Teste 02 | Teste 03 | Teste 04 | Teste 05 | Teste 06 | Teste 07 | Teste 08 | Teste 09 | Teste 10 |  Média   | Melhor
01ª geração | -9.4235  | -15.9957 | -8.3656  | -16.7243 | -5.5996  | -10.2619 | -12.1567 | -5.8964  | -13.4221 | -3.8968  | -10.1743 | -16.7243 
02ª geração | -9.4235  | -16.0202 | -7.2529  | -16.7243 | -5.5996  | -9.8663  | -12.1567 | -6.2395  | -13.4221 | -8.986   | -10.5691 | -16.7243 
03ª geração | -9.4235  | -15.9957 | -7.3321  | -16.7229 | -13.2559 | -10.0024 | -12.1567 | -16.632  | -13.4221 | -8.5514  | -12.3495 | -16.7229 
04ª geração | -13.7328 | -15.9957 | -7.2395  | -16.7229 | -5.5996  | -9.8663  | -12.1653 | -5.8964  | -13.4259 | -3.8896  | -10.4534 | -16.7229 
05ª geração | -9.4235  | -15.9957 | -7.1068  | -16.7229 | -5.5996  | -11.0764 | -12.1567 | -6.2395  | -13.4221 | -3.8896  | -10.1633 | -16.7229 
06ª geração | -9.4235  | -15.9957 | -7.9915  | -16.7229 | -8.9685  | -9.8663  | -12.1567 | -5.8964  | -13.4221 | -4.7973  | -10.5241 | -16.7229 
07ª geração | -9.8074  | -15.9957 | -10.0411 | -16.7229 | -5.6173  | -9.8663  | -12.1567 | -6.2395  | -13.4592 | -3.8896  | -10.3796 | -16.7229 
08ª geração | -9.4235  | -15.9957 | -7.1068  | -16.7229 | -5.5996  | -9.8859  | -12.1567 | -5.8964  | -13.4221 | -3.8896  | -10.0099 | -16.7229 
09ª geração | -9.5391  | -16.8662 | -7.1068  | -16.7229 | -6.9894  | -9.8859  | -12.1567 | -7.2614  | -13.4221 | -5.7942  | -10.5745 | -16.8662 
10ª geração | -16.8472 | -15.9957 | -7.1068  | -16.7229 | -5.5996  | -9.8728  | -12.1567 | -5.8964  | -13.4221 | -3.8896  | -10.751  | -16.8472 
11ª geração | -9.4235  | -16.8745 | -7.1068  | -16.7229 | -5.5996  | -9.8663  | -12.1567 | -10.6003 | -13.4259 | -16.4652 | -11.8242 | -16.8745 
12ª geração | -9.4235  | -15.9992 | -7.234   | -16.7229 | -5.6173  | -9.8663  | -13.6855 | -5.8964  | -13.4221 | -4.2441  | -10.2111 | -16.7229 
13ª geração | -9.4458  | -15.9957 | -7.179   | -16.7229 | -5.5996  | -9.8793  | -12.1567 | -8.9452  | -13.4221 | -9.4606  | -10.8807 | -16.7229 
14ª geração | -9.4235  | -15.9992 | -8.3869  | -16.7229 | -6.4351  | -9.8859  | -12.7981 | -5.8964  | -13.4221 | -3.8896  | -10.286  | -16.7229 
15ª geração | -9.4235  | -15.9957 | -7.1068  | -16.8186 | -5.5996  | -11.4799 | -12.1909 | -15.4755 | -13.4221 | -3.8896  | -11.1402 | -16.8186 
16ª geração | -9.4235  | -16.0063 | -7.1068  | -16.7229 | -11.7185 | -9.8663  | -12.1567 | -7.2614  | -13.4221 | -3.8896  | -10.7574 | -16.7229 
17ª geração | -13.1508 | -16.1279 | -7.1068  | -16.7229 | -13.2606 | -10.4221 | -12.7847 | -6.0973  | -13.4221 | -8.5514  | -11.7647 | -16.7229 
18ª geração | -12.9195 | -15.9957 | -7.1068  | -16.7243 | -5.5996  | -9.8663  | -12.1567 | -5.9596  | -13.4221 | -16.4605 | -11.6211 | -16.7243 
19ª geração | -9.611   | -15.9957 | -7.179   | -16.7229 | -11.9069 | -11.6846 | -12.1567 | -5.8964  | -13.4297 | -9.2654  | -11.3848 | -16.7229 
20ª geração | -9.4235  | -15.9957 | -7.1068  | -16.7229 | -5.5996  | -9.8663  | -12.1567 | -5.8964  | -13.4221 | -3.8896  | -10.008  | -16.7229 
